Fold,Dataset,Oversample,Oversample Run Time,Oversample Paramaters,ROC AUC for Gradient Boosting,ROC AUC for Random Forests,ROC AUC for Logistic Regression,ROC AUC for K Nearest Neighbours,Balanced Accuracy for Gradient Boosting,Balanced Accuracy for Random Forests,Balanced Accuracy for Logistic Regression,Balanced Accuracy for K Nearest Neighbours,Geometric Mean Score for Gradient Boosting,Geometric Mean Score for Random Forest,Geometric Mean Score for Logestic Regression,Geometric Mean Score for K Neighbors,F1 Score for Gradient Boosting,F1 Score for Random Forest,F1 Score for Logestic Regression,F1 Score for K Neighbors
1,Data\hcv_data_split.csv,AIS,132.02312064170837,"MinChange = 0.005, LOF=True",0.9594042056074766,0.923481308411215,0.7406542056074766,0.7140771028037384,0.9594042056074766,0.923481308411215,0.7406542056074766,0.7140771028037383,0.9591541250049539,0.9222078343408422,0.7004671338524575,0.6583397412835345,0.9090909090909091,0.8484848484848485,0.6153846153846154,0.5833333333333334
1,Data\hcv_data_split.csv,SMOTE,0.004001617431640625,NA,0.9953271028037383,0.96875,0.9188084112149533,0.8390771028037383,0.9953271028037383,0.96875,0.9188084112149533,0.8390771028037383,0.9953161335010483,0.9682458365518543,0.9177634333673184,0.8252725406525654,0.9696969696969697,0.967741935483871,0.823529411764706,0.7857142857142857
1,Data\hcv_data_split.csv,BASE,NA,NA,1.0,0.8969042056074766,0.9015771028037383,0.6515771028037383,1.0,0.8969042056074766,0.9015771028037383,0.6515771028037383,1.0,0.8929238960360225,0.8971658386586477,0.55639863340265,1.0,0.8387096774193549,0.8666666666666666,0.45454545454545453
,,,,,,,,,,,,,,,,,,,,
2,Data\hcv_data_split.csv,AIS,236.2826282978058,"MinChange = 0.005, LOF=True",0.945575221238938,0.9278761061946902,0.55,0.945575221238938,0.9455752212389381,0.9278761061946903,0.55,0.9455752212389381,0.9444762560435749,0.9274572718731805,0.31622776601683794,0.9444762560435749,0.9,0.75,0.18181818181818182,0.9
2,Data\hcv_data_split.csv,SMOTE,0.003500223159790039,NA,0.941150442477876,0.945575221238938,0.9101769911504425,0.945575221238938,0.941150442477876,0.9455752212389381,0.9101769911504425,0.9455752212389381,0.9402503903004651,0.9444762560435749,0.9101200932134157,0.9444762560435749,0.8571428571428572,0.9,0.6428571428571429,0.9
2,Data\hcv_data_split.csv,BASE,NA,NA,0.95,0.95,0.891150442477876,0.85,0.95,0.95,0.8911504424778761,0.85,0.9486832980505138,0.9486832980505138,0.8864765693263426,0.8366600265340756,0.9473684210526316,0.9473684210526316,0.8000000000000002,0.8235294117647058
,,,,,,,,,,,,,,,,,,,,
3,Data\hcv_data_split.csv,AIS,167.7648801803589,"MinChange = 0.005, LOF=True",0.8798557158712541,0.7938401775804661,0.6082130965593785,0.716426193118757,0.8798557158712541,0.7938401775804662,0.6082130965593785,0.716426193118757,0.8798521720249897,0.7932848018930776,0.48047331454862374,0.6729265849104531,0.6666666666666667,0.5,0.3478260869565218,0.5517241379310345
3,Data\hcv_data_split.csv,SMOTE,0.003500699996948242,NA,0.9375693673695894,0.917591564927858,0.9433962264150944,0.892896781354051,0.9375693673695893,0.9175915649278579,0.9433962264150944,0.892896781354051,0.9375624285540575,0.9169146740143619,0.9416965821485117,0.8901981971385244,0.7999999999999999,0.8108108108108107,0.7391304347826086,0.7999999999999999
